obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""1211.5641""","=""200""","=""3.1e+06""",D,"=""13.07571571""","=""14.0990559""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",7,7,,
"=""1214.3060""","=""50""","=""4.5e+06""",D,"=""13.28263902""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",3,3,,
"=""1234.6770""","=""50""","=""2.0e+06""",D,"=""13.09487256""","=""14.0990559""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",5,7,,
"=""1240.6221""","=""200""","=""1.1e+07""",D,"=""13.15314387""","=""14.1525151""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",3,3,,
"=""1244.2724""","=""200""","=""4.9e+06""",D,"=""12.90701530""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1245.953""","=""100""","=""8.9e+06""",D,"=""13.09487256""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",5,3,,
"=""1249.1080""","=""200""","=""1.1e+07""",D,"=""13.07571571""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",7,5,,
"=""1270.5756""","=""150""","=""7.1e+06""",D,"=""13.32785705""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",3,3,,
"=""1273.6901""","=""30""","=""1.1e+06""",D,"=""13.09487256""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",5,5,,
"=""1280.6241""","=""200""","=""5.7e+06""",D,"=""13.09487256""","=""14.0630272""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",5,5,,
"=""1293.6733""","=""50""","=""1.0e+07""",D,"=""13.28263902""","=""14.2410277""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,
